category,augmentation,image,mean_iou,mean_boundary_iou,orig_mask_count,aug_mask_count,mask_count_diff
Dog,Gaussian,Dog_0000,0.8198089608086468,0.45329948761668004,36,41,5
Dog,Gaussian,Dog_0001,0.5349236871954838,0.26099425900598067,27,35,8
Dog,Gaussian,Dog_0002,0.6100287749714456,0.27967198245250174,11,8,-3
Dog,Gaussian,Dog_0003,0.40772777187811726,0.23700299136910707,23,16,-7
Dog,Gaussian,Dog_0004,0.6938458514067178,0.36006992154263057,120,107,-13
Dog,Gaussian,Dog_0005,0.7554287842578821,0.35874283987746125,6,8,2
Dog,Gaussian,Dog_0006,0.6038418592240662,0.3647285865122147,57,59,2
Dog,Gaussian,Dog_0007,0.7461836408559389,0.4358619358114512,29,27,-2
Dog,Gaussian,Dog_0008,0.6858541842348908,0.3698929789317263,138,115,-23
Dog,Gaussian,Dog_0009,0.4246350527091839,0.23308369005659008,25,15,-10
Dog,Gaussian,Dog_0010,0.4554833158797773,0.27491694326467564,21,24,3
Dog,Gaussian,Dog_0011,0.6279242543036437,0.3840704160703719,23,32,9
Dog,Gaussian,Dog_0012,0.4128013533276041,0.15819425228622747,12,19,7
Dog,Gaussian,Dog_0013,0.7087243373496185,0.4577959920880764,72,78,6
Dog,Gaussian,Dog_0014,0.6942395148760138,0.33392607891797327,23,22,-1
Dog,Gaussian,Dog_0015,0.5537377847024375,0.33674328835078704,42,35,-7
Dog,Gaussian,Dog_0016,0.5717577415134688,0.2874426048662541,36,31,-5
Dog,Gaussian,Dog_0017,0.7495627679962874,0.46063227795831774,41,38,-3
Dog,Gaussian,Dog_0018,0.48883571262368175,0.25425219124011067,142,110,-32
Dog,Gaussian,Dog_0019,0.5646819532184089,0.31254910062054514,57,42,-15
Dog,Gaussian,Dog_0020,0.593692872820326,0.3244128462988742,56,75,19
Dog,Gaussian,Dog_0021,0.6621711971901507,0.3700280687374115,26,22,-4
Dog,Gaussian,Dog_0022,0.3334028596943593,0.07260232882872127,12,8,-4
Dog,Gaussian,Dog_0023,0.6917077278805228,0.39045909827807956,15,12,-3
Dog,Gaussian,Dog_0024,0.4519435791187596,0.31606296757050656,51,33,-18
Dog,Gaussian,Dog_0025,0.676171409606154,0.39830326265189975,13,15,2
Dog,Gaussian,Dog_0026,0.46044114959906474,0.17190066611927435,12,9,-3
Dog,Gaussian,Dog_0027,0.8379958118577711,0.4057921982747602,17,26,9
Dog,Gaussian,Dog_0028,0.7612223542705232,0.4955561360787413,47,47,0
Dog,Gaussian,Dog_0029,0.47738183841667237,0.2699062792765346,16,11,-5
Dog,Gaussian,Dog_0030,0.7525185921817557,0.37064309558407904,10,9,-1
Dog,Gaussian,Dog_0031,0.7236742318443693,0.38426420906087666,36,40,4
Dog,Gaussian,Dog_0032,0.48575321727371906,0.28248950852600807,46,32,-14
Dog,Gaussian,Dog_0033,0.5223974883368164,0.29031416956751255,27,28,1
Dog,Gaussian,Dog_0034,0.8230081502746779,0.48070698062052825,14,14,0
Dog,Gaussian,Dog_0035,0.7087435009470446,0.39992539661560117,77,96,19
Dog,Gaussian,Dog_0036,0.6138947639169791,0.37025116638951167,49,46,-3
Dog,Gaussian,Dog_0037,0.789930561620673,0.37766704438090526,10,11,1
Dog,Gaussian,Dog_0038,0.6365635786449195,0.2860502013179072,38,42,4
Dog,Gaussian,Dog_0039,0.6924507456529265,0.3663604159888884,59,58,-1
Dog,Motion,Dog_0000,0.454256223706816,0.10438191056336579,36,33,-3
Dog,Motion,Dog_0001,0.37229026366411877,0.15350070961516413,27,28,1
Dog,Motion,Dog_0002,0.5161991463808199,0.1673809027537079,11,9,-2
Dog,Motion,Dog_0003,0.17023435892188282,0.06877944483628841,23,14,-9
Dog,Motion,Dog_0004,0.30153684973729233,0.06751159587430214,120,67,-53
Dog,Motion,Dog_0005,0.7306293882105824,0.27668175286588853,6,6,0
Dog,Motion,Dog_0006,0.37914609622917866,0.15166862333377618,57,38,-19
Dog,Motion,Dog_0007,0.5311584745737882,0.12522540792146347,29,24,-5
Dog,Motion,Dog_0008,0.17631766208877162,0.05712868783029369,138,38,-100
Dog,Motion,Dog_0009,0.24863011995539241,0.10319136250067693,25,9,-16
Dog,Motion,Dog_0010,0.28101546365506413,0.12220599498483065,21,19,-2
Dog,Motion,Dog_0011,0.4220402581717125,0.20089448926901382,23,26,3
Dog,Motion,Dog_0012,0.15499372183393467,0.04138612347463285,12,11,-1
Dog,Motion,Dog_0013,0.47447606760523964,0.20927304941825342,72,59,-13
Dog,Motion,Dog_0014,0.49743378883193007,0.17039121855616532,23,17,-6
Dog,Motion,Dog_0015,0.3705652351832662,0.169409264036024,42,32,-10
Dog,Motion,Dog_0016,0.28808749577138215,0.10790166138258304,36,21,-15
Dog,Motion,Dog_0017,0.5528069761649407,0.2160630741621754,41,35,-6
Dog,Motion,Dog_0018,0.22285308597313724,0.08519317989380715,142,61,-81
Dog,Motion,Dog_0019,0.4013783484158395,0.08523176985135535,57,44,-13
Dog,Motion,Dog_0020,0.43347030197106035,0.13140000786051795,56,45,-11
Dog,Motion,Dog_0021,0.5152438796728097,0.19209505630984597,26,22,-4
Dog,Motion,Dog_0022,0.08289812813648494,0.014322865398064662,12,4,-8
Dog,Motion,Dog_0023,0.5142075287584491,0.1615626722752462,15,14,-1
Dog,Motion,Dog_0024,0.2879500433550165,0.09927785127076123,51,34,-17
Dog,Motion,Dog_0025,0.3614786957175739,0.12755393909003188,13,8,-5
Dog,Motion,Dog_0026,0.43420065943431646,0.12266908123499064,12,11,-1
Dog,Motion,Dog_0027,0.44950231446135636,0.2575421012122283,17,16,-1
Dog,Motion,Dog_0028,0.4398138537076909,0.17540795934896977,47,36,-11
Dog,Motion,Dog_0029,0.23095932027069052,0.05353949385639045,16,6,-10
Dog,Motion,Dog_0030,0.11134580624196033,0.044780655732854655,10,6,-4
Dog,Motion,Dog_0031,0.4980757287006734,0.19303069517220764,36,29,-7
Dog,Motion,Dog_0032,0.344977977082947,0.1258851795877687,46,23,-23
Dog,Motion,Dog_0033,0.24589324808604723,0.13158870768685427,27,20,-7
Dog,Motion,Dog_0034,0.3132824582301755,0.10619119613243853,14,8,-6
Dog,Motion,Dog_0035,0.4251308236848127,0.19583677223844287,77,59,-18
Dog,Motion,Dog_0036,0.47106107557880755,0.17450258513634664,49,43,-6
Dog,Motion,Dog_0037,0.5254553283002926,0.19283267161012108,10,10,0
Dog,Motion,Dog_0038,0.3550297165643313,0.1203851170204559,38,33,-5
Dog,Motion,Dog_0039,0.40513222118610637,0.12389683500102273,59,42,-17
Dog,Compression,Dog_0000,0.3649544580173536,0.21397956673346843,36,39,3
Dog,Compression,Dog_0001,0.07057222577509273,0.028541564223293927,27,21,-6
Dog,Compression,Dog_0002,0.09682174614381688,0.023211000032475167,11,23,12
Dog,Compression,Dog_0003,0.14899880606962143,0.05729199140852789,23,37,14
Dog,Compression,Dog_0004,0.05667064073336379,0.0228561863016697,120,25,-95
Dog,Compression,Dog_0005,0.657466456382446,0.17420653325643523,6,7,1
Dog,Compression,Dog_0006,0.18952072507581583,0.08472362099117978,57,40,-17
Dog,Compression,Dog_0007,0.3492495436458162,0.18151652083452074,29,33,4
Dog,Compression,Dog_0008,0.10907154052627303,0.05191959080910622,138,27,-111
Dog,Compression,Dog_0009,0.14368841378388714,0.04019780425209987,25,34,9
Dog,Compression,Dog_0010,0.2580340415060132,0.1190274761362063,21,31,10
Dog,Compression,Dog_0011,0.1643021585854646,0.07066374760109181,23,33,10
Dog,Compression,Dog_0012,0.24483597405622118,0.08063914584109282,12,34,22
Dog,Compression,Dog_0013,0.09027623163992365,0.02748589241504717,72,18,-54
Dog,Compression,Dog_0014,0.16124528434956986,0.04225479009399723,23,17,-6
Dog,Compression,Dog_0015,0.17335549301312572,0.08449545959170174,42,36,-6
Dog,Compression,Dog_0016,0.1784822071040327,0.0619242130448935,36,21,-15
Dog,Compression,Dog_0017,0.16806350957299113,0.07271028340839744,41,50,9
Dog,Compression,Dog_0018,0.4131177219949542,0.22239941707021327,142,104,-38
Dog,Compression,Dog_0019,0.2663145174721968,0.06891890570868363,57,52,-5
Dog,Compression,Dog_0020,0.2216453726938807,0.09067413598454023,56,45,-11
Dog,Compression,Dog_0021,0.45402279735459256,0.19665255281525088,26,43,17
Dog,Compression,Dog_0022,0.07710977300138612,0.013055902633162107,12,4,-8
Dog,Compression,Dog_0023,0.33394635418212965,0.10315092618090597,15,39,24
Dog,Compression,Dog_0024,0.26572491127827125,0.12896448069385288,51,26,-25
Dog,Compression,Dog_0025,0.4055120101938956,0.18001015920580435,13,17,4
Dog,Compression,Dog_0026,0.1633492108942592,0.04767487776307768,12,30,18
Dog,Compression,Dog_0027,0.35222247478767854,0.17156628752196493,17,13,-4
Dog,Compression,Dog_0028,0.442234549545757,0.18338718031777299,47,59,12
Dog,Compression,Dog_0029,0.3584955959676175,0.20528018454580188,16,11,-5
Dog,Compression,Dog_0030,0.15016912691479825,0.08381037408322775,10,16,6
Dog,Compression,Dog_0031,0.4256781794222167,0.23155989374171548,36,26,-10
Dog,Compression,Dog_0032,0.17788776235018416,0.05356470261253371,46,24,-22
Dog,Compression,Dog_0033,0.23429337565826588,0.10985797781488352,27,52,25
Dog,Compression,Dog_0034,0.19677904430586657,0.07836278173250562,14,28,14
Dog,Compression,Dog_0035,0.17127433394753494,0.05260292310062973,77,43,-34
Dog,Compression,Dog_0036,0.3124188799032053,0.12825365509959188,49,33,-16
Dog,Compression,Dog_0037,0.11632423300377215,0.009109025448105127,10,23,13
Dog,Compression,Dog_0038,0.17400297634613143,0.06626246413031202,38,17,-21
Dog,Compression,Dog_0039,0.4057749316013712,0.2063743378883244,59,62,3
Dog,All,Dog_0000,0.054553884338537785,0.0077856796148393515,36,33,-3
Dog,All,Dog_0001,0.06977925749735654,0.01242004531525555,27,40,13
Dog,All,Dog_0002,0.08793582530287226,0.006626946515028534,11,28,17
Dog,All,Dog_0003,0.08450050262716698,0.018427036687062172,23,41,18
Dog,All,Dog_0004,0.041008228295533446,0.006649308806578861,120,42,-78
Dog,All,Dog_0005,0.1887326164374302,0.02982456140350877,6,19,13
Dog,All,Dog_0006,0.05446248307775281,0.01335729719464504,57,41,-16
Dog,All,Dog_0007,0.12941953647464916,0.023518586384402695,29,32,3
Dog,All,Dog_0008,0.03067651095846983,0.004450698790674373,138,14,-124
Dog,All,Dog_0009,0.04463535771363223,0.005633383857627494,25,55,30
Dog,All,Dog_0010,0.02715321847686684,0.01204061342663508,21,48,27
Dog,All,Dog_0011,0.16346988865192416,0.02988278053741622,23,46,23
Dog,All,Dog_0012,0.10821972445504657,0.03382162831630219,12,34,22
Dog,All,Dog_0013,0.06129110009845925,0.010767666772134997,72,30,-42
Dog,All,Dog_0014,0.11656643466957718,0.02212514629001033,23,41,18
